Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2018-02-01;IMPORTAÇÃO;905373.6082;386091562
2018-01-01;IMPORTAÇÃO;928042.7278;343679066
2018-07-01;IMPORTAÇÃO;635280.4854;320632360
2018-06-01;IMPORTAÇÃO;826599.1154;418800720
2018-05-01;IMPORTAÇÃO;758314.6754;335148290
2018-03-01;IMPORTAÇÃO;1065877.586;455994145
2018-11-01;IMPORTAÇÃO;360697.893;198898243
2018-10-01;IMPORTAÇÃO;1687504.554;830192299
2018-09-01;IMPORTAÇÃO;787649.4367;392074439
2019-04-01;EXPORTAÇÃO;7653496.376;2972157607
2019-08-01;EXPORTAÇÃO;5310990.361;1883137326
2019-12-01;EXPORTAÇÃO;9705514.214;2719673183
2019-02-01;EXPORTAÇÃO;4535468.119;1596785188
2019-01-01;EXPORTAÇÃO;5543138.437;2028953419
2019-07-01;EXPORTAÇÃO;4229438.764;1581879483
2019-06-01;EXPORTAÇÃO;4027529.327;1580083573
2019-05-01;EXPORTAÇÃO;5376136.232;2161957499
2019-03-01;EXPORTAÇÃO;5441944.563;1995565620
2019-11-01;EXPORTAÇÃO;4191961.349;1361476162
2019-10-01;EXPORTAÇÃO;5861484.062;2027454116
2019-09-01;EXPORTAÇÃO;6157725.748;2093208676
2019-04-01;IMPORTAÇÃO;525376.4841;234675439
